Device: cuda

  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.6480 train_acc=0.691 val_loss=0.6026 val_acc=0.677 val_macroF1=0.677 val_cancerRecall=0.541 (13.0s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.6499 train_acc=0.690 val_loss=0.5699 val_acc=0.710 val_macroF1=0.693 val_cancerRecall=0.653 (13.0s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.6072 train_acc=0.709 val_loss=0.5685 val_acc=0.724 val_macroF1=0.712 val_cancerRecall=0.653 (13.0s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.6156 train_acc=0.714 val_loss=0.5805 val_acc=0.710 val_macroF1=0.698 val_cancerRecall=0.622 (12.9s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.6159 train_acc=0.729 val_loss=0.5819 val_acc=0.682 val_macroF1=0.675 val_cancerRecall=0.520 (12.9s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.6071 train_acc=0.728 val_loss=0.5468 val_acc=0.714 val_macroF1=0.661 val_cancerRecall=0.776 (12.9s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.6180 train_acc=0.712 val_loss=0.5546 val_acc=0.691 val_macroF1=0.662 val_cancerRecall=0.704 (12.9s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.5590 train_acc=0.734 val_loss=0.5296 val_acc=0.728 val_macroF1=0.684 val_cancerRecall=0.776 (12.9s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.5476 train_acc=0.773 val_loss=0.5340 val_acc=0.737 val_macroF1=0.708 val_cancerRecall=0.714 (12.8s)
  [A-head] early stopping at epoch 12 (no val macro-F1 improvement for 6 epochs)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.5887 train_acc=0.736 val_loss=0.5209 val_acc=0.733 val_macroF1=0.691 val_cancerRecall=0.786 (13.0s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.5644 train_acc=0.736 val_loss=0.5374 val_acc=0.742 val_macroF1=0.709 val_cancerRecall=0.786 (12.9s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.5395 train_acc=0.751 val_loss=0.5221 val_acc=0.742 val_macroF1=0.718 val_cancerRecall=0.704 (12.9s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.5618 train_acc=0.734 val_loss=0.5093 val_acc=0.737 val_macroF1=0.697 val_cancerRecall=0.776 (12.9s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.5196 train_acc=0.757 val_loss=0.5109 val_acc=0.747 val_macroF1=0.725 val_cancerRecall=0.704 (13.0s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.5210 train_acc=0.754 val_loss=0.4993 val_acc=0.737 val_macroF1=0.690 val_cancerRecall=0.776 (13.0s)
  [B-finetune] epoch 7/25 lr=1.0e-05 train_loss=0.4995 train_acc=0.776 val_loss=0.5174 val_acc=0.733 val_macroF1=0.712 val_cancerRecall=0.653 (12.9s)
  [B-finetune] epoch 8/25 lr=1.0e-05 train_loss=0.5186 train_acc=0.755 val_loss=0.5206 val_acc=0.733 val_macroF1=0.698 val_cancerRecall=0.755 (13.0s)
  [B-finetune] epoch 9/25 lr=5.0e-06 train_loss=0.5056 train_acc=0.757 val_loss=0.5102 val_acc=0.728 val_macroF1=0.679 val_cancerRecall=0.796 (13.0s)
  [B-finetune] epoch 10/25 lr=5.0e-06 train_loss=0.5124 train_acc=0.760 val_loss=0.4841 val_acc=0.760 val_macroF1=0.729 val_cancerRecall=0.735 (12.9s)
  [B-finetune] epoch 11/25 lr=5.0e-06 train_loss=0.4911 train_acc=0.784 val_loss=0.4850 val_acc=0.756 val_macroF1=0.720 val_cancerRecall=0.735 (12.9s)
  [B-finetune] epoch 12/25 lr=5.0e-06 train_loss=0.4986 train_acc=0.768 val_loss=0.4904 val_acc=0.747 val_macroF1=0.718 val_cancerRecall=0.694 (12.9s)
  [B-finetune] epoch 13/25 lr=5.0e-06 train_loss=0.5319 train_acc=0.773 val_loss=0.5067 val_acc=0.747 val_macroF1=0.725 val_cancerRecall=0.724 (13.0s)
  [B-finetune] epoch 14/25 lr=2.5e-06 train_loss=0.4887 train_acc=0.760 val_loss=0.5241 val_acc=0.737 val_macroF1=0.723 val_cancerRecall=0.612 (12.9s)
  [B-finetune] epoch 15/25 lr=2.5e-06 train_loss=0.4602 train_acc=0.779 val_loss=0.4998 val_acc=0.756 val_macroF1=0.734 val_cancerRecall=0.684 (12.9s)
  [B-finetune] epoch 16/25 lr=2.5e-06 train_loss=0.4780 train_acc=0.775 val_loss=0.4792 val_acc=0.737 val_macroF1=0.697 val_cancerRecall=0.735 (12.9s)
  [B-finetune] epoch 17/25 lr=2.5e-06 train_loss=0.4973 train_acc=0.790 val_loss=0.5058 val_acc=0.751 val_macroF1=0.731 val_cancerRecall=0.684 (12.9s)
  [B-finetune] epoch 18/25 lr=2.5e-06 train_loss=0.4786 train_acc=0.765 val_loss=0.4898 val_acc=0.747 val_macroF1=0.707 val_cancerRecall=0.755 (13.0s)
  [B-finetune] epoch 19/25 lr=1.3e-06 train_loss=0.5020 train_acc=0.771 val_loss=0.4903 val_acc=0.751 val_macroF1=0.710 val_cancerRecall=0.745 (12.9s)
  [B-finetune] epoch 20/25 lr=1.3e-06 train_loss=0.4864 train_acc=0.773 val_loss=0.4840 val_acc=0.760 val_macroF1=0.743 val_cancerRecall=0.673 (12.9s)
  [B-finetune] epoch 21/25 lr=1.3e-06 train_loss=0.4869 train_acc=0.776 val_loss=0.5034 val_acc=0.756 val_macroF1=0.729 val_cancerRecall=0.776 (12.9s)
  [B-finetune] epoch 22/25 lr=1.3e-06 train_loss=0.4444 train_acc=0.793 val_loss=0.4783 val_acc=0.760 val_macroF1=0.733 val_cancerRecall=0.714 (12.8s)
  [B-finetune] epoch 23/25 lr=1.3e-06 train_loss=0.4759 train_acc=0.785 val_loss=0.5015 val_acc=0.733 val_macroF1=0.687 val_cancerRecall=0.765 (12.8s)
  [B-finetune] epoch 24/25 lr=6.3e-07 train_loss=0.4959 train_acc=0.794 val_loss=0.4995 val_acc=0.756 val_macroF1=0.740 val_cancerRecall=0.694 (12.9s)
  [B-finetune] epoch 25/25 lr=6.3e-07 train_loss=0.4705 train_acc=0.803 val_loss=0.4914 val_acc=0.760 val_macroF1=0.730 val_cancerRecall=0.724 (12.9s)
=== efficientnet_b0 fold 3 DONE -- best val macro-F1 = 0.7428 ===

=== efficientnet_b0 fold 4 === train=866 val=216 class_weights=[1.5440000295639038, 0.7350000143051147, 1.0089999437332153]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.8829 train_acc=0.573 val_loss=0.7807 val_acc=0.681 val_macroF1=0.666 val_cancerRecall=0.765 (12.9s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.7395 train_acc=0.670 val_loss=0.7130 val_acc=0.616 val_macroF1=0.626 val_cancerRecall=0.500 (12.8s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.6655 train_acc=0.664 val_loss=0.6306 val_acc=0.671 val_macroF1=0.623 val_cancerRecall=0.786 (12.9s)
  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.6098 train_acc=0.722 val_loss=0.6206 val_acc=0.685 val_macroF1=0.669 val_cancerRecall=0.704 (12.8s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.6091 train_acc=0.692 val_loss=0.5914 val_acc=0.685 val_macroF1=0.658 val_cancerRecall=0.724 (12.9s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.6088 train_acc=0.711 val_loss=0.5639 val_acc=0.731 val_macroF1=0.717 val_cancerRecall=0.694 (12.8s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.5605 train_acc=0.739 val_loss=0.5894 val_acc=0.685 val_macroF1=0.687 val_cancerRecall=0.520 (12.8s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.5857 train_acc=0.710 val_loss=0.5807 val_acc=0.694 val_macroF1=0.697 val_cancerRecall=0.510 (12.8s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.5799 train_acc=0.715 val_loss=0.5390 val_acc=0.727 val_macroF1=0.711 val_cancerRecall=0.673 (12.9s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.5750 train_acc=0.711 val_loss=0.5423 val_acc=0.731 val_macroF1=0.716 val_cancerRecall=0.643 (12.8s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.5482 train_acc=0.731 val_loss=0.5255 val_acc=0.736 val_macroF1=0.711 val_cancerRecall=0.724 (12.9s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.6063 train_acc=0.710 val_loss=0.5256 val_acc=0.736 val_macroF1=0.722 val_cancerRecall=0.663 (13.0s)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.5414 train_acc=0.770 val_loss=0.5153 val_acc=0.741 val_macroF1=0.715 val_cancerRecall=0.724 (12.9s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.5379 train_acc=0.739 val_loss=0.5141 val_acc=0.745 val_macroF1=0.711 val_cancerRecall=0.735 (12.8s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.5184 train_acc=0.759 val_loss=0.5110 val_acc=0.745 val_macroF1=0.724 val_cancerRecall=0.714 (12.9s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.5356 train_acc=0.741 val_loss=0.5163 val_acc=0.722 val_macroF1=0.708 val_cancerRecall=0.622 (12.9s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.5179 train_acc=0.749 val_loss=0.5171 val_acc=0.713 val_macroF1=0.699 val_cancerRecall=0.602 (12.9s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.5633 train_acc=0.758 val_loss=0.5112 val_acc=0.708 val_macroF1=0.702 val_cancerRecall=0.602 (12.8s)
  [B-finetune] epoch 7/25 lr=1.0e-05 train_loss=0.5249 train_acc=0.751 val_loss=0.4959 val_acc=0.741 val_macroF1=0.725 val_cancerRecall=0.653 (12.8s)
  [B-finetune] epoch 8/25 lr=1.0e-05 train_loss=0.4853 train_acc=0.766 val_loss=0.5060 val_acc=0.727 val_macroF1=0.713 val_cancerRecall=0.622 (12.8s)
