Device: cuda

=== efficientnet_b0 fold 2 === train=865 val=216 class_weights=[1.3930000066757202, 0.6480000019073486, 1.3539999723434448]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.9719 train_acc=0.481 val_loss=0.9184 val_acc=0.574 val_macroF1=0.580 val_cancerRecall=0.514 (15.0s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.8598 train_acc=0.580 val_loss=0.8627 val_acc=0.574 val_macroF1=0.581 val_cancerRecall=0.477 (14.4s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.8357 train_acc=0.610 val_loss=0.8603 val_acc=0.556 val_macroF1=0.572 val_cancerRecall=0.351 (14.4s)
  [A-head] epoch 4/12 lr=1.0e-03 train_loss=0.7907 train_acc=0.591 val_loss=0.8158 val_acc=0.588 val_macroF1=0.587 val_cancerRecall=0.532 (14.8s)
  [A-head] epoch 5/12 lr=1.0e-03 train_loss=0.7769 train_acc=0.607 val_loss=0.8126 val_acc=0.597 val_macroF1=0.605 val_cancerRecall=0.468 (14.8s)
  [A-head] epoch 6/12 lr=1.0e-03 train_loss=0.7511 train_acc=0.618 val_loss=0.7853 val_acc=0.611 val_macroF1=0.614 val_cancerRecall=0.523 (14.7s)
  [A-head] epoch 7/12 lr=1.0e-03 train_loss=0.7375 train_acc=0.643 val_loss=0.7669 val_acc=0.616 val_macroF1=0.616 val_cancerRecall=0.532 (14.3s)
  [A-head] epoch 8/12 lr=1.0e-03 train_loss=0.7385 train_acc=0.629 val_loss=0.7473 val_acc=0.671 val_macroF1=0.645 val_cancerRecall=0.712 (14.3s)
  [A-head] epoch 9/12 lr=1.0e-03 train_loss=0.7518 train_acc=0.621 val_loss=0.7479 val_acc=0.644 val_macroF1=0.634 val_cancerRecall=0.604 (14.3s)
  [A-head] epoch 10/12 lr=1.0e-03 train_loss=0.7778 train_acc=0.653 val_loss=0.8169 val_acc=0.556 val_macroF1=0.570 val_cancerRecall=0.369 (14.3s)
  [A-head] epoch 11/12 lr=1.0e-03 train_loss=0.7528 train_acc=0.655 val_loss=0.7546 val_acc=0.634 val_macroF1=0.625 val_cancerRecall=0.604 (14.3s)
  [A-head] epoch 12/12 lr=1.0e-03 train_loss=0.7813 train_acc=0.616 val_loss=0.7465 val_acc=0.644 val_macroF1=0.634 val_cancerRecall=0.604 (14.3s)
  [B-finetune] epoch 1/25 lr=1.0e-05 train_loss=0.7479 train_acc=0.647 val_loss=0.7557 val_acc=0.644 val_macroF1=0.640 val_cancerRecall=0.586 (14.4s)
  [B-finetune] epoch 2/25 lr=1.0e-05 train_loss=0.7241 train_acc=0.665 val_loss=0.7356 val_acc=0.648 val_macroF1=0.638 val_cancerRecall=0.604 (14.3s)
  [B-finetune] epoch 3/25 lr=1.0e-05 train_loss=0.6703 train_acc=0.673 val_loss=0.7561 val_acc=0.611 val_macroF1=0.611 val_cancerRecall=0.477 (14.3s)
  [B-finetune] epoch 4/25 lr=1.0e-05 train_loss=0.7033 train_acc=0.674 val_loss=0.7401 val_acc=0.648 val_macroF1=0.643 val_cancerRecall=0.586 (14.4s)
  [B-finetune] epoch 5/25 lr=1.0e-05 train_loss=0.7018 train_acc=0.650 val_loss=0.7305 val_acc=0.657 val_macroF1=0.649 val_cancerRecall=0.586 (14.2s)
  [B-finetune] epoch 6/25 lr=1.0e-05 train_loss=0.6996 train_acc=0.662 val_loss=0.7253 val_acc=0.644 val_macroF1=0.636 val_cancerRecall=0.604 (14.3s)
  [B-finetune] epoch 7/25 lr=1.0e-05 train_loss=0.6922 train_acc=0.672 val_loss=0.7271 val_acc=0.648 val_macroF1=0.639 val_cancerRecall=0.577 (14.2s)
  [B-finetune] epoch 8/25 lr=1.0e-05 train_loss=0.6729 train_acc=0.682 val_loss=0.7212 val_acc=0.653 val_macroF1=0.643 val_cancerRecall=0.586 (14.2s)
  [B-finetune] epoch 9/25 lr=1.0e-05 train_loss=0.6851 train_acc=0.669 val_loss=0.7285 val_acc=0.667 val_macroF1=0.653 val_cancerRecall=0.604 (14.3s)
  [B-finetune] epoch 10/25 lr=1.0e-05 train_loss=0.6674 train_acc=0.665 val_loss=0.7146 val_acc=0.681 val_macroF1=0.670 val_cancerRecall=0.622 (14.3s)
  [B-finetune] epoch 11/25 lr=1.0e-05 train_loss=0.6530 train_acc=0.695 val_loss=0.7238 val_acc=0.653 val_macroF1=0.648 val_cancerRecall=0.595 (14.3s)
  [B-finetune] epoch 12/25 lr=1.0e-05 train_loss=0.6647 train_acc=0.683 val_loss=0.7242 val_acc=0.644 val_macroF1=0.643 val_cancerRecall=0.532 (14.3s)
  [B-finetune] epoch 13/25 lr=1.0e-05 train_loss=0.6822 train_acc=0.665 val_loss=0.7005 val_acc=0.667 val_macroF1=0.655 val_cancerRecall=0.604 (14.4s)
  [B-finetune] epoch 14/25 lr=5.0e-06 train_loss=0.7319 train_acc=0.661 val_loss=0.7097 val_acc=0.657 val_macroF1=0.653 val_cancerRecall=0.586 (14.3s)
  [B-finetune] epoch 15/25 lr=5.0e-06 train_loss=0.6653 train_acc=0.672 val_loss=0.7098 val_acc=0.657 val_macroF1=0.661 val_cancerRecall=0.514 (14.4s)
  [B-finetune] epoch 16/25 lr=5.0e-06 train_loss=0.6942 train_acc=0.672 val_loss=0.7127 val_acc=0.634 val_macroF1=0.636 val_cancerRecall=0.514 (14.3s)
  [B-finetune] early stopping at epoch 16 (no val macro-F1 improvement for 6 epochs)
=== efficientnet_b0 fold 2 DONE -- best val macro-F1 = 0.6695 ===

=== efficientnet_b0 fold 3 === train=864 val=217 class_weights=[1.3910000324249268, 0.6470000147819519, 1.3580000400543213]
  [A-head] epoch 1/12 lr=1.0e-03 train_loss=0.9572 train_acc=0.464 val_loss=0.8678 val_acc=0.599 val_macroF1=0.590 val_cancerRecall=0.595 (14.3s)
  [A-head] epoch 2/12 lr=1.0e-03 train_loss=0.8226 train_acc=0.578 val_loss=0.8241 val_acc=0.585 val_macroF1=0.586 val_cancerRecall=0.486 (14.3s)
  [A-head] epoch 3/12 lr=1.0e-03 train_loss=0.7858 train_acc=0.618 val_loss=0.8308 val_acc=0.553 val_macroF1=0.567 val_cancerRecall=0.333 (14.3s)
